player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
J.J. Anderson,1983,1985,,6-8,195,"September 23, 1960",Bradley,Career,,,NBA,157,2,12.5,1.9,4.2,.465,0.0,0.1,.000,1.9,4.1,.471,.465,0.9,1.6,.558,1.2,1.6,2.8,0.7,0.7,0.2,0.8,1.6,4.8
James Anderson,2011,2016,,6-6,213,"March 25, 1989",Oklahoma State,Career,,,NBA,247,83,17.5,2.1,5.2,.411,0.8,2.5,.321,1.3,2.7,.495,.488,0.7,0.9,.755,0.4,1.8,2.3,1.2,0.5,0.2,0.9,1.2,5.8
Jerome Anderson,1976,1977,,6-5,195,"October 9, 1953",West Virginia,Career,,,NBA,49,,5.9,1.0,2.1,.490,,,,,,,,0.5,0.7,.694,0.3,0.2,0.5,0.3,0.2,0.1,,1.0,2.6
Justin Anderson,2016,2020,,6-6,230,"November 19, 1993",Virginia,Career,,,NBA,226,24,13.1,1.8,4.5,.413,0.6,2.2,.296,1.2,2.3,.522,.485,0.9,1.2,.774,0.6,1.9,2.5,0.7,0.4,0.3,0.6,1.2,5.2
Kenny Anderson,1992,2005,,6-0,168,"October 9, 1970",Georgia Tech,Career,,,NBA,858,693,30.1,4.7,11.1,.421,0.6,1.8,.346,4.0,9.2,.436,.449,2.6,3.3,.790,0.8,2.3,3.1,6.1,1.5,0.1,2.1,2.3,12.6
Kim Anderson,1979,1979,,6-7,200,"May 12, 1955",Missouri,Career,,,NBA,21,,10.7,1.1,3.7,.312,,,,,,,,0.7,1.3,.536,0.8,1.3,2.1,0.7,0.2,0.2,1.0,2.0,3.0
Kyle Anderson,2015,2021,,6-9,230,"September 20, 1993",UCLA,Career,,,NBA,436,237,20.9,2.5,5.3,.483,0.4,1.2,.335,2.1,4.1,.526,.521,1.0,1.4,.724,0.7,3.5,4.2,2.3,1.0,0.6,0.9,1.5,6.5
Michael Anderson,1989,1989,,5-11,184,"March 23, 1966",Drexel,Career,,,NBA,36,12,20.3,2.0,4.9,.417,0.0,0.2,.143,2.0,4.7,.429,.420,1.6,2.3,.695,1.2,1.3,2.5,4.3,1.2,0.1,2.3,1.8,5.7
Nick Anderson,1990,2002,,6-6,205,"January 20, 1968",Illinois,Career,,,NBA,800,636,31.2,5.5,12.4,.446,1.3,3.7,.356,4.2,8.7,.485,.500,2.1,3.1,.667,1.3,3.8,5.1,2.6,1.4,0.5,1.7,1.9,14.4
Richard Anderson,1983,1990,,6-10,240,"November 19, 1960",UC Santa Barbara,Career,,,NBA,407,30,14.7,2.2,5.4,.412,0.4,1.1,.333,1.9,4.3,.432,.446,0.7,0.9,.762,1.1,2.4,3.5,1.5,0.6,0.2,0.9,1.7,5.6
