Player,MP,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,Starter,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y,GameID,DateTime,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM
Damian Lillard,37.43333333333333,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903010TOR,2019-03-01 20:00:00,8.0,17.0,0.471,3.0,6.0,0.5,5.0,6.0,0.833,1.0,7.0,8.0,6.0,0.0,0.0,1.0,2.0,24.0,-9.0,0.611,0.559,0.353,0.353,3.3,25.6,13.9,24.2,0.0,0.0,4.8,23.8,133.0,124.0,3.3
Maurice Harkless,26.75,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903010TOR,2019-03-01 20:00:00,5.0,9.0,0.556,0.0,2.0,0.0,1.0,2.0,0.5,0.0,4.0,4.0,4.0,3.0,0.0,0.0,4.0,11.0,-10.0,0.557,0.556,0.222,0.222,0.0,20.5,9.7,21.7,5.4,0.0,0.0,16.0,130.0,112.0,6.2
Al-Farouq Aminu,21.016666666666666,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903010TOR,2019-03-01 20:00:00,4.0,9.0,0.444,2.0,3.0,0.667,0.0,0.0,,1.0,1.0,2.0,3.0,0.0,2.0,2.0,1.0,10.0,-13.0,0.556,0.556,0.333,0.0,5.9,6.5,6.2,20.8,0.0,8.6,18.2,22.6,105.0,115.0,3.3
Jusuf Nurkić,19.4,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903010TOR,2019-03-01 20:00:00,3.0,4.0,0.75,0.0,0.0,,4.0,4.0,1.0,2.0,5.0,7.0,3.0,2.0,0.0,3.0,4.0,10.0,-3.0,0.868,0.75,0.0,1.0,12.7,35.3,23.4,21.5,4.9,0.0,34.2,19.5,131.0,112.0,6.8
Jake Layman,26.983333333333334,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903010TOR,2019-03-01 20:00:00,5.0,10.0,0.5,1.0,4.0,0.25,2.0,3.0,0.667,1.0,6.0,7.0,1.0,2.0,1.0,2.0,4.0,13.0,11.0,0.574,0.55,0.4,0.3,4.6,30.5,16.8,5.4,3.5,3.4,15.0,21.3,104.0,112.0,0.4
Rodney Hood,21.3,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903010TOR,2019-03-01 20:00:00,1.0,6.0,0.167,0.0,2.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,3.0,6.0,0.218,0.167,0.333,0.333,5.8,12.9,9.1,0.0,0.0,0.0,12.7,16.0,52.0,124.0,-17.0
Seth Curry,18.716666666666665,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903010TOR,2019-03-01 20:00:00,3.0,7.0,0.429,1.0,3.0,0.333,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,9.0,12.0,0.571,0.5,0.429,0.286,6.6,7.3,6.9,0.0,2.6,0.0,11.3,20.5,109.0,119.0,-1.1
Meyers Leonard,18.633333333333333,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903010TOR,2019-03-01 20:00:00,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,-8.0,0.5,0.5,0.5,0.0,0.0,7.4,3.5,6.5,0.0,0.0,0.0,4.6,123.0,124.0,-6.0
Zach Collins,9.966666666666667,,,,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,201903010TOR,2019-03-01 20:00:00,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,2.0,2.0,4.0,1.0,0.0,1.0,3.0,2.0,0.0,9.0,0.0,0.0,1.0,0.0,24.7,27.5,26.0,11.5,0.0,9.1,75.0,17.3,47.0,114.0,-14.7
Kyle Lowry,40.35,,,,,,,,,,,,,,,,,,,,Starter,,,,,,,,,,,,,,,,,,,,201903010TOR,2019-03-01 20:00:00,7.0,13.0,0.538,3.0,8.0,0.375,2.0,2.0,1.0,0.0,7.0,7.0,10.0,1.0,2.0,3.0,4.0,19.0,6.0,0.684,0.654,0.615,0.154,0.0,21.4,11.3,32.4,1.2,4.6,17.8,19.3,124.0,116.0,4.3
