player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Bill Edwards,1994,1994,,6-8,215,"September 22, 1971",Wright State University,Career,,,NBA,3,0,14.7,0.7,6.0,.111,0.0,1.7,.000,0.7,4.3,.154,.111,0.7,1.7,.400,1.7,3.0,4.7,1.3,1.0,0.3,1.3,2.0,2.0
Blue Edwards,1990,1999,,6-4,200,"October 31, 1965",East Carolina University,Career,,,NBA,704,452,26.1,4.3,9.0,.475,0.4,1.3,.335,3.9,7.7,.498,.499,1.8,2.3,.779,1.0,2.4,3.4,2.0,1.0,0.4,1.7,2.7,10.8
Carsen Edwards,2020,2021,,5-11,200,"March 12, 1998",Purdue,Career,,,NBA,68,1,9.2,1.3,3.5,.372,0.6,2.0,.302,0.7,1.5,.470,.460,0.4,0.5,.750,0.1,0.9,1.1,0.6,0.3,0.1,0.3,0.9,3.6
Corsley Edwards,2005,2005,,6-9,275,"March 5, 1979",Central Connecticut State University,Career,,,NBA,10,0,11.0,1.0,3.1,.323,0.0,0.0,,1.0,3.1,.323,.323,0.7,1.2,.583,1.2,1.3,2.5,0.3,0.3,0.4,0.2,1.9,2.7
Doug Edwards,1994,1996,,6-7,220,"January 21, 1971",Florida State,Career,,,NBA,85,0,9.9,0.8,2.2,.378,0.0,0.1,.000,0.8,2.1,.390,.378,0.7,1.0,.709,0.7,1.1,1.8,0.7,0.2,0.3,0.7,1.1,2.4
Franklin Edwards,1982,1988,,6-1,170,"February 2, 1959",Cleveland State University,Career,,,NBA,296,36,15.0,2.5,5.6,.449,0.0,0.1,.030,2.5,5.4,.457,.449,1.1,1.4,.795,0.3,0.8,1.0,2.6,0.8,0.1,1.3,1.2,6.1
James Edwards,1978,1996,,7-0,225,"November 22, 1955",Washington,Career,,,NBA,1168,467,24.3,5.0,10.0,.495,0.0,0.0,.048,5.0,10.0,.496,.495,2.8,4.0,.698,1.5,3.6,5.1,1.3,0.4,0.7,1.7,3.5,12.7
Jay Edwards,1990,1990,,6-4,185,"January 3, 1969",Indiana,Career,,,NBA,4,0,6.5,0.8,1.8,.429,0.0,0.5,.000,0.8,1.3,.600,.429,0.3,0.8,.333,0.3,0.3,0.5,1.0,0.3,0.0,0.3,1.0,1.8
John Edwards,2005,2006,,7-0,275,"July 31, 1981",Kent State University,Career,,,NBA,65,5,6.7,0.6,1.4,.447,0.0,0.0,,0.6,1.4,.447,.447,0.2,0.4,.600,0.4,0.6,1.0,0.1,0.1,0.3,0.3,1.4,1.5
Kevin Edwards,1989,2001,,6-3,190,"October 30, 1965",DePaul,Career,,,NBA,604,302,25.4,4.4,10.4,.423,0.3,0.9,.335,4.1,9.5,.431,.437,1.9,2.3,.803,0.9,1.9,2.7,2.7,1.4,0.3,1.9,1.7,10.9
Shane Edwards,2014,2014,,6-7,220,"May 31, 1987",Little Rock,Career,,,NBA,2,0,6.0,0.5,1.5,.333,0.0,0.0,,0.5,1.5,.333,.333,0.0,0.0,,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.5,1.0
Vince Edwards,2019,2019,,6-8,225,"April 5, 1996",Purdue,Career,,,NBA,2,0,8.0,0.5,2.0,.250,0.5,2.0,.250,0.0,0.0,,.375,0.0,0.0,,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.5
Johnny Egan,1962,1972,,5-11,180,"January 31, 1939",Providence,Career,,,NBA,712,,20.3,2.9,6.8,.429,,,,,,,,1.9,2.3,.805,,,1.8,3.0,,,,2.0,7.8
Lonnie Eggleston,1949,1949,,6-0,170,"June 8, 1918",Oklahoma State,Career,,,BAA,2,,,0.5,2.0,.250,,,,,,,,1.0,1.5,.667,,,,0.5,,,,1.5,2.0
Bulbs Ehlers,1948,1949,,6-3,198,"March 10, 1923",Purdue,Career,,,BAA,99,,,2.9,10.1,.286,,,,,,,,2.3,3.7,.618,,,,1.8,,,,2.1,8.1
