player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Sergey Karasev,2014,2016,,6-7,208,"October 26, 1993",,Career,,,NBA,95,22,11.7,1.0,2.6,.395,0.3,1.2,.282,0.7,1.4,.489,.459,0.7,0.8,.842,0.3,1.2,1.5,0.9,0.3,0.0,0.6,1.0,3.0
Coby Karl,2008,2010,,6-5,215,"March 6, 1983",Boise State,Career,,,NBA,24,1,7.7,0.8,2.4,.345,0.3,1.0,.250,0.6,1.4,.412,.397,0.5,0.7,.750,0.3,1.0,1.3,1.0,0.3,0.1,0.6,0.8,2.4
George Karl,1974,1978,,6-2,190,"May 12, 1951",UNC,Career,,,TOT,264,,16.9,2.6,5.5,.465,0.1,0.2,.222,2.5,5.3,.475,.469,1.3,1.7,.780,0.4,1.0,1.4,3.0,0.9,0.1,1.5,2.1,6.5
Ed Kasid,1947,1947,,5-11,185,"August 13, 1923",,Career,,,BAA,8,,,0.8,2.6,.286,,,,,,,,0.0,0.8,.000,,,,0.8,,,,1.0,1.5
Mario Kasun,2005,2006,,7-1,260,"April 5, 1980",,Career,,,NBA,73,0,7.8,1.1,2.3,.467,0.0,0.0,.000,1.1,2.3,.470,.467,0.6,0.9,.636,1.0,1.5,2.6,0.2,0.1,0.2,0.6,2.1,2.7
Leo Katkaveck,1949,1950,,6-0,185,"April 17, 1923",NC State,Career,,,TOT,107,,,1.7,5.4,.317,,,,,,,,0.8,1.2,.685,,,,1.3,,,,2.0,4.3
Bob Kauffman,1969,1975,,6-8,240,"July 13, 1946",Guilford College,Career,,,NBA,525,,25.8,4.4,9.2,.477,,,,,,,,2.7,3.7,.749,1.1,2.3,7.0,2.7,0.4,0.1,,2.6,11.5
Sasha Kaun,2016,2016,,6-11,260,"May 8, 1985",Kansas,Career,,,NBA,25,0,3.8,0.4,0.7,.529,0.0,0.0,,0.4,0.7,.529,.529,0.2,0.4,.455,0.5,0.6,1.0,0.1,0.2,0.2,0.3,0.4,0.9
Wilbert Kautz,1947,1947,,6-0,180,"September 7, 1915",Loyola Chicago,Career,,,BAA,50,,,2.1,8.4,.255,,,,,,,,0.8,1.5,.534,,,,0.7,,,,2.3,5.1
Clarence Kea,1981,1982,,6-6,218,"February 2, 1959",Lamar,Career,,,NBA,51,0,8.8,1.2,2.5,.485,0.0,0.0,.000,1.2,2.5,.488,.485,1.4,2.0,.692,1.1,1.5,2.5,0.4,0.2,0.1,0.6,1.9,3.9
Mike Kearns,1955,1955,,6-2,178,"June 18, 1929",Princeton,Career,,,NBA,6,,4.2,0.0,0.8,.000,,,,,,,,0.2,0.7,.250,,,0.5,0.8,,,,0.2,0.2
Tommy Kearns,1959,1959,,5-11,185,"October 6, 1936",UNC,Career,,,NBA,1,,7.0,1.0,1.0,1.000,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,1.0,2.0
