player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Naji Marshall,2021,2021,,6-7,220,"January 24, 1998",Xavier,Career,,,NBA,32,10,21.9,2.6,6.5,.392,0.9,2.6,.349,1.7,3.9,.421,.462,1.7,2.3,.707,0.5,4.2,4.6,2.8,0.8,0.3,1.2,1.8,7.7
Rawle Marshall,2006,2007,,6-9,190,"February 20, 1982","Ball State University, Oakland",Career,,,NBA,63,11,9.6,0.9,2.4,.376,0.1,0.3,.238,0.8,2.0,.398,.393,0.8,1.2,.716,0.3,0.7,1.0,0.4,0.3,0.2,0.5,0.6,2.7
Tom Marshall,1955,1959,,6-4,215,"January 6, 1931",Western Kentucky,Career,,,NBA,168,,15.4,2.1,5.4,.388,,,,,,,,1.5,2.0,.709,,,2.9,1.1,,,,1.2,5.7
Vester Marshall,1974,1974,,6-7,200,"December 22, 1948",Oklahoma,Career,,,NBA,13,,13.4,0.5,2.2,.241,,,,,,,,0.2,0.5,.429,1.1,1.8,2.8,0.3,0.3,0.2,,1.5,1.3
Bill Martin,1986,1988,,6-7,205,"August 16, 1962",Georgetown,Career,,,NBA,84,0,10.2,2.0,4.5,.449,0.0,0.1,.000,2.0,4.3,.460,.449,0.7,0.9,.813,0.6,1.0,1.6,0.7,0.4,0.1,0.9,1.5,4.7
Bob Martin,1994,1995,,7-0,250,"October 7, 1969",Minnesota,Career,,,NBA,54,1,10.2,0.8,1.7,.441,0.0,0.0,,0.8,1.7,.441,.441,0.6,0.9,.608,0.7,1.5,2.2,0.3,0.1,0.6,0.5,2.0,2.1
Brian Martin,1986,1986,,6-9,212,"August 18, 1962",Kansas,Career,,,NBA,8,0,2.6,0.4,0.9,.429,0.0,0.0,,0.4,0.9,.429,.429,0.0,0.3,.000,0.1,0.4,0.5,0.0,0.0,0.1,0.3,0.9,0.8
Caleb Martin,2020,2021,,6-5,205,"September 28, 1995","NC State, Nevada",Career,,,NBA,71,4,16.0,1.9,4.8,.391,0.7,2.3,.315,1.2,2.5,.461,.466,0.8,1.2,.682,0.6,1.9,2.5,1.3,0.7,0.3,0.7,1.3,5.3
Cartier Martin,2009,2015,,6-7,220,"November 20, 1984",Kansas State,Career,,,NBA,243,15,13.8,1.8,4.5,.392,0.9,2.4,.372,0.9,2.1,.414,.491,0.6,0.9,.729,0.4,1.5,1.9,0.5,0.4,0.1,0.5,1.3,5.1
Cody Martin,2020,2021,,6-5,205,"September 28, 1995","NC State, Nevada",Career,,,NBA,100,13,17.5,1.7,4.0,.435,0.3,1.4,.252,1.4,2.6,.531,.478,0.7,1.1,.620,0.9,2.3,3.2,1.8,0.8,0.2,0.8,1.3,4.5
Cuonzo Martin,1996,1997,,6-5,213,"September 23, 1971",Purdue,Career,,,NBA,7,0,4.6,0.4,1.7,.250,0.4,0.7,.600,0.0,1.0,.000,.375,0.0,0.3,.000,0.3,0.1,0.4,0.4,0.1,0.0,0.3,0.3,1.3
Darrick Martin,1995,2008,,5-11,170,"March 6, 1971",UCLA,Career,,,NBA,514,178,17.8,2.3,6.0,.382,0.7,2.0,.340,1.6,4.0,.402,.438,1.6,1.9,.843,0.2,0.9,1.1,2.9,0.7,0.0,1.2,1.7,6.9
Dino Martin,1947,1948,,5-8,160,"May 25, 1920",Georgetown,Career,,,BAA,92,,,3.9,13.2,.294,,,,,,,,1.3,2.0,.638,,,,0.8,,,,1.3,9.1
Don Martin,1947,1949,,6-7,210,"February 7, 1920",Central Missouri State University,Career,,,BAA,137,,,1.3,4.6,.282,,,,,,,,0.4,0.8,.523,,,,0.3,,,,1.8,3.0
Fernando Martín,1987,1987,,6-9,220,"March 25, 1962",,Career,,,NBA,24,0,6.1,0.4,1.3,.290,0.0,0.0,.000,0.4,1.3,.300,.290,0.2,0.5,.364,0.3,0.8,1.2,0.4,0.3,0.0,0.8,1.0,0.9
Jarell Martin,2016,2019,,6-10,239,"May 24, 1994",LSU,Career,,,NBA,184,40,15.9,2.0,4.7,.434,0.3,1.0,.346,1.7,3.7,.457,.470,1.0,1.3,.766,1.0,2.4,3.5,0.6,0.4,0.4,0.8,2.2,5.4
Jeff Martin,1990,1991,,6-5,195,"January 14, 1967",Murray State,Career,,,NBA,143,49,18.8,2.7,6.4,.417,0.2,0.7,.282,2.5,5.7,.434,.433,1.1,1.6,.694,0.9,1.1,2.0,0.8,0.5,0.3,0.7,1.4,6.7
Jeremiah Martin,2020,2021,,6-3,185,"June 19, 1996",Memphis,Career,,,NBA,18,0,9.7,1.8,4.8,.384,0.4,1.7,.267,1.4,3.1,.446,.430,0.7,1.1,.632,0.2,0.8,0.9,1.2,0.7,0.2,0.6,0.4,4.8
Kelan Martin,2020,2021,,6-5,230,"August 3, 1995",Butler,Career,,,NBA,66,4,12.4,2.0,4.8,.417,0.7,2.4,.314,1.3,2.5,.515,.494,0.6,0.6,.951,0.5,2.2,2.6,0.6,0.3,0.3,0.5,1.3,5.4
Kenyon Martin,2001,2015,,6-9,234,"December 30, 1977",Cincinnati,Career,,,NBA,757,667,30.6,5.1,10.6,.483,0.1,0.4,.234,5.0,10.2,.492,.487,2.0,3.2,.629,1.7,5.1,6.8,1.9,1.2,1.1,1.7,3.3,12.3
Kenyon Martin,2021,2021,,6-6,215,"January 6, 2001",,Career,,,NBA,45,8,23.7,3.6,7.1,.509,0.8,2.1,.365,2.8,4.9,.572,.564,1.3,1.9,.714,1.6,3.8,5.4,1.1,0.7,0.9,0.8,2.0,9.3
Kevin Martin,2005,2016,,6-7,199,"February 1, 1983",Western Carolina University,Career,,,NBA,714,504,30.2,5.4,12.3,.437,1.6,4.2,.384,3.8,8.2,.464,.502,5.0,5.7,.870,0.6,2.6,3.2,1.9,0.9,0.1,1.7,1.9,17.4
LaRue Martin,1973,1976,,6-11,208,"March 30, 1950",Loyola Chicago,Career,,,NBA,271,,14.0,2.2,5.2,.416,,,,,,,,0.9,1.3,.685,1.4,3.2,4.6,0.7,0.2,0.5,,2.3,5.3
Maurice Martin,1987,1988,,6-6,200,"July 2, 1964",Saint Joseph's,Career,,,NBA,69,0,6.1,1.1,2.8,.378,0.1,0.3,.211,1.0,2.6,.395,.388,0.8,1.3,.598,0.4,0.6,0.9,0.7,0.3,0.1,0.6,1.0,3.0
