player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,ft_per_g,fta_per_g,ft_pct,trb_per_g,ast_per_g,pf_per_g,pts_per_g,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,orb_per_g,drb_per_g,stl_per_g,blk_per_g,tov_per_g
Don Grate,1950,1950,,6-2,185,"August 27, 1923",Ohio State,Career,,,NBA,2,,,0.5,3.0,.167,1.0,1.0,1.000,,1.5,1.5,2.0,,,,,,,,,,,,
Butch Graves,1985,1985,,6-3,200,"January 5, 1962",Yale,Career,,,NBA,4,0,2.8,0.5,1.5,.333,0.3,1.3,.200,0.5,0.3,1.0,1.3,0.0,0.3,.000,0.5,1.3,.400,.333,0.0,0.5,0.3,0.0,0.3
Aaron Gray,2008,2014,,7-0,270,"December 7, 1984",Pitt,Career,,,NBA,318,87,12.1,1.4,2.7,.509,0.6,1.0,.562,3.7,0.7,2.1,3.4,0.0,0.0,.000,1.4,2.7,.511,.509,1.4,2.4,0.3,0.3,0.8
Devin Gray,1997,2000,,6-7,240,"May 31, 1972",Clemson,Career,,,NBA,27,2,6.4,0.9,2.3,.365,0.8,1.3,.618,1.4,0.3,1.2,2.5,0.0,0.0,,0.9,2.3,.365,.365,0.6,0.8,0.3,0.1,0.3
Ed Gray,1998,1999,,6-3,210,"September 27, 1975","Tennessee, California",Career,,,NBA,60,6,13.5,2.2,6.4,.339,1.4,1.7,.814,1.2,0.8,1.7,6.2,0.5,1.5,.341,1.7,4.9,.338,.378,0.3,1.0,0.5,0.2,1.0
Evric Gray,1997,1997,,6-7,235,"December 13, 1969",UNLV,Career,,,NBA,5,0,8.4,0.8,3.0,.267,0.8,0.8,1.000,0.6,0.4,1.0,2.6,0.2,0.8,.250,0.6,2.2,.273,.300,0.2,0.4,0.2,0.0,0.6
Gary Gray,1968,1968,,6-1,185,"February 23, 1945",Oklahoma City University,Career,,,NBA,44,,6.3,1.1,3.0,.366,0.2,0.2,.700,0.5,0.6,1.1,2.4,,,,,,,,,,,,
Josh Gray,2018,2020,,6-0,180,"September 9, 1993",LSU,Career,,,NBA,7,0,15.6,1.7,6.1,.279,1.0,1.6,.636,1.7,2.0,1.3,4.9,0.4,1.9,.231,1.3,4.3,.300,.314,0.4,1.3,1.1,0.3,1.7
Leonard Gray,1975,1977,,6-8,240,"December 19, 1951",Cal State Long Beach,Career,,,NBA,224,,27.0,4.6,9.8,.469,1.6,2.1,.739,5.2,2.2,3.7,10.8,,,,,,,,1.5,3.8,0.9,0.4,
Stuart Gray,1985,1991,,7-0,235,"May 27, 1963",UCLA,Career,,,NBA,386,5,9.0,0.9,2.0,.446,0.6,0.9,.663,2.6,0.4,1.7,2.3,0.0,0.0,.000,0.9,1.9,.450,.446,0.8,1.8,0.2,0.3,0.6
Sylvester Gray,1989,1989,,6-6,230,"July 8, 1967",Memphis,Career,,,NBA,55,15,22.2,3.0,7.2,.420,1.9,2.8,.673,5.2,2.1,2.6,8.0,0.0,0.1,.250,3.0,7.2,.421,.421,2.1,3.1,0.7,0.5,1.9
Wyndol Gray,1947,1948,,6-1,175,"March 20, 1922",Harvard University,Career,,,BAA,67,,,2.2,7.7,.283,1.1,1.9,.570,,0.7,1.8,5.4,,,,,,,,,,,,
Jeff Grayer,1989,1998,,6-5,200,"December 17, 1965",Iowa State,Career,,,NBA,438,101,18.9,3.1,6.7,.457,1.3,1.9,.663,3.0,1.4,1.7,7.4,0.1,0.3,.255,3.0,6.4,.467,.463,1.3,1.6,0.6,0.1,1.1
Bob Greacen,1970,1972,,6-7,206,"September 15, 1947",Rutgers University,Career,,,TOT,47,,7.6,1.0,2.6,.374,0.4,0.7,.600,1.4,0.9,1.2,2.4,0.0,0.0,,1.0,2.6,.374,.374,0.3,0.3,,,0.5
A.C. Green,1986,2001,,6-9,220,"October 4, 1963",Oregon State,Career,,,NBA,1278,832,28.6,3.6,7.2,.494,2.4,3.3,.734,7.4,1.1,1.9,9.6,0.1,0.4,.254,3.5,6.8,.507,.501,2.6,4.8,0.8,0.4,1.1
