Player,MP,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y,GameID,DateTime,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus
Timofey Mozgov,9.316666666666666,,,,,,,,,,,,,,,,,,,,Starter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,66.7,15.4,0,112,-21.5,,,,,,,,,,,,,,,,,,,,201506140GSW,2015-06-14 20:00:00,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,-4.0
J.R. Smith,35.7,,,,,,,,,,,,,,,,,,,,Reserve,0.467,0.467,0.933,0.0,3.2,21.2,11.8,10.6,1.5,5.5,6.3,21.5,98,113,2.7,,,,,,,,,,,,,,,,,,,,201506140GSW,2015-06-14 20:00:00,5.0,15.0,0.333,4.0,14.0,0.286,0.0,0.0,,1.0,6.0,7.0,2.0,1.0,2.0,1.0,3.0,14.0,-6.0
James Jones,17.783333333333335,,,,,,,,,,,,,,,,,,,,Reserve,0.0,0.0,1.0,0.0,0.0,7.1,3.4,0.0,3.0,0.0,0.0,2.7,0,115,-9.9,,,,,,,,,,,,,,,,,,,,201506140GSW,2015-06-14 20:00:00,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0
Mike Miller,13.633333333333333,,,,,,,,,,,,,,,,,,,,Reserve,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,7.0,102,125,-4.4,,,,,,,,,,,,,,,,,,,,201506140GSW,2015-06-14 20:00:00,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0
Andre Iguodala,42.46666666666667,,,,,,,,,,,,,,,,,,,,Starter,0.442,0.545,0.455,1.0,3.0,18.8,11.3,26.1,3.8,0.0,0.0,16.9,112,97,7.5,,,,,,,,,,,,,,,,,,,,201506140GSW,2015-06-14 20:00:00,5.0,11.0,0.455,2.0,5.0,0.4,2.0,11.0,0.182,1.0,7.0,8.0,7.0,3.0,0.0,0.0,2.0,14.0,16.0
Stephen Curry,42.11666666666667,,,,,,,,,,,,,,,,,,,,Starter,0.747,0.717,0.565,0.174,9.0,10.9,10.0,21.5,2.5,0.0,16.8,32.0,127,103,16.4,,,,,,,,,,,,,,,,,,,,201506140GSW,2015-06-14 20:00:00,13.0,23.0,0.565,7.0,13.0,0.538,4.0,4.0,1.0,3.0,4.0,7.0,4.0,2.0,0.0,5.0,2.0,37.0,24.0
Klay Thompson,40.083333333333336,,,,,,,,,,,,,,,,,,,,Starter,0.416,0.393,0.286,0.071,0.0,8.6,4.5,8.0,0.0,0.0,6.5,17.4,91,109,-7.4,,,,,,,,,,,,,,,,,,,,201506140GSW,2015-06-14 20:00:00,5.0,14.0,0.357,1.0,4.0,0.25,1.0,1.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,5.0,12.0,11.0
Draymond Green,35.516666666666666,,,,,,,,,,,,,,,,,,,,Starter,0.597,0.5,0.333,1.111,0.0,29.0,15.2,26.5,0.0,2.9,23.0,22.2,109,100,4.4,,,,,,,,,,,,,,,,,,,,201506140GSW,2015-06-14 20:00:00,4.0,9.0,0.444,1.0,3.0,0.333,7.0,10.0,0.7,0.0,9.0,9.0,6.0,0.0,1.0,4.0,4.0,16.0,23.0
Harrison Barnes,29.266666666666666,,,,,,,,,,,,,,,,,,,,Starter,0.457,0.429,0.0,0.571,25.9,15.6,20.5,10.6,3.7,3.6,10.2,15.1,119,96,6.0,,,,,,,,,,,,,,,,,,,,201506140GSW,2015-06-14 20:00:00,3.0,7.0,0.429,0.0,0.0,,2.0,4.0,0.5,6.0,4.0,10.0,2.0,2.0,1.0,1.0,3.0,8.0,8.0
Shaun Livingston,21.283333333333335,,,,,,,,,,,,,,,,,,,,Reserve,0.333,0.333,0.0,0.0,0.0,10.7,5.6,20.1,0.0,0.0,40.0,10.6,70,109,-7.5,,,,,,,,,,,,,,,,,,,,201506140GSW,2015-06-14 20:00:00,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,2.0,2.0,2.0,-5.0
Leandro Barbosa,17.033333333333335,,,,,,,,,,,,,,,,,,,,Reserve,0.962,0.9,0.2,0.8,0.0,13.4,7.0,0.0,0.0,0.0,22.8,23.3,135,107,5.8,,,,,,,,,,,,,,,,,,,,201506140GSW,2015-06-14 20:00:00,4.0,5.0,0.8,1.0,1.0,1.0,4.0,4.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,13.0,1.0
David Lee,9.016666666666667,,,,,,,,,,,,,,,,,,,,Reserve,0.333,0.333,0.0,0.0,0.0,12.7,6.7,17.4,0.0,0.0,25.0,20.1,65,108,-11.8,,,,,,,,,,,,,,,,,,,,201506140GSW,2015-06-14 20:00:00,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,-7.0
Festus Ezeli,3.2,,,,,,,,,,,,,,,,,,,,Reserve,,,,,39.5,0.0,18.8,0.0,0.0,0.0,,0.0,220,111,-12.1,,,,,,,,,,,,,,,,,,,,201506140GSW,2015-06-14 20:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,-6.0
Stephen Curry,43.1,,,,,,,,,,,,,,,,,,,,Starter,0.555,0.5,0.579,0.421,0.0,13.9,7.0,31.7,3.4,0.0,11.8,26.6,108,99,5.5,,,,,,,,,,,,,,,,,,,,201506160CLE,2015-06-16 21:00:00,8.0,19.0,0.421,3.0,11.0,0.273,6.0,8.0,0.75,0.0,6.0,6.0,8.0,3.0,0.0,3.0,3.0,25.0,14.0
Draymond Green,41.46666666666667,,,,,,,,,,,,,,,,,,,,Starter,0.542,0.538,0.385,0.308,2.5,24.1,13.4,38.5,3.6,2.1,16.9,19.3,109,92,9.7,,,,,,,,,,,,,,,,,,,,201506160CLE,2015-06-16 21:00:00,6.0,13.0,0.462,2.0,5.0,0.4,2.0,4.0,0.5,1.0,10.0,11.0,10.0,3.0,1.0,3.0,5.0,16.0,11.0
