Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y
Gary Payton,39.8,10.0,19.0,0.526,0.0,1.0,0.0,4.0,5.0,0.8,2.0,2.0,4.0,8.0,1.0,0.0,3.0,3.0,24.0,-24.0,Starter,0.566,0.526,0.053,0.263,7.1,5.9,6.4,36.9,1.4,0.0,12.4,28.9,116.0,131.0,2.2,200305010MIL,2003-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmond Mason,34.75,7.0,13.0,0.538,0.0,1.0,0.0,1.0,3.0,0.333,1.0,3.0,4.0,1.0,1.0,0.0,1.0,3.0,15.0,-10.0,Starter,0.524,0.538,0.077,0.231,4.0,10.0,7.3,4.8,1.6,0.0,6.5,20.9,103.0,129.0,-3.5,200305010MIL,2003-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Cassell,31.216666666666665,2.0,4.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,3.0,0.0,0.0,3.0,2.0,5.0,-7.0,Starter,0.512,0.5,0.25,0.5,4.6,3.8,4.1,13.3,0.0,0.0,38.1,12.2,82.0,136.0,-9.6,200305010MIL,2003-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Thomas,27.483333333333334,3.0,7.0,0.429,2.0,2.0,1.0,5.0,5.0,1.0,0.0,6.0,6.0,1.0,0.0,2.0,2.0,6.0,13.0,-10.0,Starter,0.707,0.571,0.286,0.714,0.0,26.0,14.2,5.4,0.0,5.5,17.9,19.8,121.0,122.0,1.6,200305010MIL,2003-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ervin Johnson,13.633333333333333,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,1.0,1.0,0.0,1.0,4.0,2.0,-3.0,Starter,1.0,1.0,0.0,0.0,10.1,16.7,13.7,9.9,3.9,0.0,50.0,6.8,116.0,120.0,0.4,200305010MIL,2003-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toni Kukoč,34.166666666666664,7.0,14.0,0.5,2.0,4.0,0.5,0.0,0.0,,1.0,2.0,3.0,5.0,1.0,1.0,2.0,1.0,16.0,-11.0,Reserve,0.571,0.571,0.286,0.0,4.2,6.9,5.6,25.1,1.6,2.2,12.5,22.5,112.0,130.0,5.2,200305010MIL,2003-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Redd,31.683333333333334,7.0,11.0,0.636,0.0,0.0,,6.0,7.0,0.857,2.0,3.0,5.0,3.0,0.0,0.0,1.0,2.0,20.0,3.0,Reserve,0.71,0.636,0.0,0.636,8.8,11.0,10.0,16.4,0.0,0.0,6.6,22.5,145.0,132.0,6.4,200305010MIL,2003-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Mason,20.133333333333333,1.0,3.0,0.333,0.0,0.0,,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,4.0,-7.0,Reserve,0.515,0.333,0.0,0.667,0.0,5.9,3.2,0.0,2.7,0.0,43.6,16.5,58.0,128.0,-12.2,200305010MIL,2003-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Haislip,7.133333333333334,0.0,0.0,,0.0,0.0,,2.0,4.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,9.0,Reserve,0.568,,,,0.0,16.7,9.1,0.0,7.8,10.5,0.0,12.0,123.0,107.0,4.7,200305010MIL,2003-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Duncan,44.86666666666667,4.0,12.0,0.333,0.0,0.0,,7.0,11.0,0.636,6.0,14.0,20.0,10.0,0.0,4.0,2.0,2.0,15.0,5.0,Starter,0.445,0.333,0.0,0.917,13.3,29.9,21.8,43.1,0.0,6.5,10.6,18.4,116.0,86.0,11.3,200305010PHO,2003-05-01 21:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
