player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Antoine Wright,2006,2011,,6-7,210,"February 6, 1984",Texas A&M,Career,,,NBA,297,96,19.2,2.1,5.0,.412,0.5,1.7,.304,1.6,3.3,.467,.463,0.8,1.1,.674,0.5,1.8,2.3,1.0,0.5,0.2,0.8,2.0,5.4
Bracey Wright,2006,2007,,6-3,210,"July 1, 1984",Indiana,Career,,,NBA,26,0,12.5,1.7,4.3,.405,0.5,1.4,.324,1.3,2.8,.446,.459,1.0,1.3,.794,0.4,1.1,1.5,0.8,0.4,0.0,0.5,0.5,5.0
Brad Wright,1987,1988,,6-11,225,"March 26, 1962",UCLA,Career,,,NBA,16,0,9.1,1.3,3.2,.412,0.0,0.1,.000,1.3,3.1,.420,.412,0.8,1.8,.429,1.6,1.8,3.4,0.1,0.2,0.4,0.9,1.4,3.4
Brandan Wright,2008,2018,,6-10,210,"October 5, 1987",UNC,Career,,,NBA,428,62,16.2,3.0,4.9,.607,0.0,0.0,.000,3.0,4.9,.610,.607,1.0,1.5,.674,1.4,2.3,3.6,0.5,0.5,1.0,0.5,1.3,7.0
Chris Wright,2012,2014,,6-8,226,"September 30, 1988",Dayton,Career,,,NBA,32,1,9.8,1.4,2.5,.550,0.0,0.0,.000,1.4,2.5,.557,.550,0.9,1.4,.652,0.9,1.1,2.0,0.3,0.4,0.6,0.4,1.2,3.7
Chris Wright,2013,2013,,6-1,210,"November 4, 1989",Georgetown,Career,,,NBA,3,0,1.3,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.7
Delon Wright,2016,2021,,6-5,185,"April 26, 1992",Utah,Career,,,NBA,334,62,21.3,2.9,6.3,.453,0.7,2.0,.350,2.2,4.3,.500,.508,1.4,1.7,.792,0.8,2.5,3.3,3.2,1.1,0.4,1.1,1.2,7.8
Dorell Wright,2005,2015,,6-9,205,"December 2, 1985",,Career,,,NBA,549,222,22.4,3.0,7.1,.424,1.1,3.1,.365,1.9,4.0,.469,.503,1.2,1.5,.806,0.7,3.1,3.8,1.5,0.8,0.5,0.9,1.4,8.4
Howard Wright,1991,1993,,6-8,220,"December 20, 1967",Stanford,Career,,,NBA,19,0,9.2,1.2,2.7,.442,0.0,0.1,.000,1.2,2.7,.451,.442,0.8,1.4,.615,0.7,1.8,2.5,0.2,0.2,0.3,0.6,1.5,3.3
Howie Wright,1971,1972,,6-3,185,"February 22, 1947",Austin Peay State University,Career,,,ABA,53,,11.6,1.8,4.6,.384,0.2,0.8,.214,1.6,3.8,.419,.402,0.8,0.9,.800,0.4,1.1,1.5,1.2,,,1.1,1.7,4.5
