Player,MP,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y,GameID,DateTime,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus
Rodney McGruder,33.11666666666667,,,,,,,,,,,,,,,,,,,,Starter,0.474,0.438,0.375,0.125,3.5,10.6,7.1,4.7,1.6,0.0,19.2,15.9,81.0,116.0,-8.6,,,,,,,,,,,,,,,,,,,,201701010MIA,2017-01-01 18:00:00,3.0,8.0,0.375,1.0,3.0,0.333,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,0.0,2.0,2.0,8.0,-14.0
Willie Reed,17.966666666666665,,,,,,,,,,,,,,,,,,,,Starter,0.667,0.667,0.0,0.0,0.0,13.0,6.5,18.0,0.0,4.2,0.0,8.4,145.0,115.0,-0.8,,,,,,,,,,,,,,,,,,,,201701010MIA,2017-01-01 18:00:00,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,1.0,0.0,3.0,4.0,-3.0
Luke Babbitt,17.483333333333334,,,,,,,,,,,,,,,,,,,,Starter,0.7,0.7,0.2,0.0,0.0,20.1,10.0,10.3,0.0,0.0,0.0,14.5,131.0,116.0,-4.3,,,,,,,,,,,,,,,,,,,,201701010MIA,2017-01-01 18:00:00,3.0,5.0,0.6,1.0,1.0,1.0,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,5.0,7.0,2.0
James Johnson,33.9,,,,,,,,,,,,,,,,,,,,Reserve,0.678,0.615,0.385,0.308,3.5,20.7,12.1,16.0,1.5,2.2,16.9,26.5,112.0,112.0,3.4,,,,,,,,,,,,,,,,,,,,201701010MIA,2017-01-01 18:00:00,6.0,13.0,0.462,4.0,5.0,0.8,4.0,4.0,1.0,1.0,6.0,7.0,3.0,1.0,1.0,3.0,2.0,20.0,-4.0
Tyler Johnson,28.966666666666665,,,,,,,,,,,,,,,,,,,,Reserve,0.451,0.35,0.2,0.5,0.0,4.0,2.0,27.6,1.8,5.2,7.6,23.0,99.0,113.0,-0.6,,,,,,,,,,,,,,,,,,,,201701010MIA,2017-01-01 18:00:00,3.0,10.0,0.3,1.0,2.0,0.5,4.0,5.0,0.8,0.0,1.0,1.0,5.0,1.0,2.0,1.0,2.0,11.0,-9.0
Udonis Haslem,20.716666666666665,,,,,,,,,,,,,,,,,,,,Reserve,0.615,0.5,0.0,0.5,5.7,28.3,17.0,0.0,2.5,0.0,29.1,16.8,91.0,110.0,-8.6,,,,,,,,,,,,,,,,,,,,201701010MIA,2017-01-01 18:00:00,2.0,4.0,0.5,0.0,0.0,,2.0,2.0,1.0,1.0,5.0,6.0,0.0,1.0,0.0,2.0,3.0,6.0,-9.0
Derrick Williams,12.833333333333334,,,,,,,,,,,,,,,,,,,,Reserve,0.727,0.75,0.333,0.333,0.0,54.7,27.4,37.3,0.0,0.0,0.0,27.1,141.0,109.0,13.0,,,,,,,,,,,,,,,,,,,,201701010MIA,2017-01-01 18:00:00,4.0,6.0,0.667,1.0,2.0,0.5,1.0,2.0,0.5,0.0,6.0,6.0,2.0,0.0,0.0,0.0,1.0,10.0,-2.0
Allen Crabbe,40.06666666666667,,,,,,,,,,,,,,,,,,,,Starter,0.46,0.45,0.5,0.2,0.0,19.2,10.9,3.8,0.0,1.9,15.5,15.5,80.0,97.0,-6.8,,,,,,,,,,,,,,,,,,,,201701010MIN,2017-01-01 19:00:00,4.0,10.0,0.4,1.0,5.0,0.2,1.0,2.0,0.5,0.0,8.0,8.0,1.0,0.0,1.0,2.0,3.0,10.0,14.0
CJ McCollum,39.233333333333334,,,,,,,,,,,,,,,,,,,,Starter,0.742,0.7,0.24,0.36,3.2,9.8,7.0,22.3,3.9,1.9,9.4,39.4,136.0,92.0,18.7,,,,,,,,,,,,,,,,,,,,201701010MIN,2017-01-01 19:00:00,16.0,25.0,0.64,3.0,6.0,0.5,8.0,9.0,0.889,1.0,4.0,5.0,3.0,3.0,1.0,3.0,3.0,43.0,7.0
Al-Farouq Aminu,35.65,,,,,,,,,,,,,,,,,,,,Starter,0.143,0.143,0.286,0.0,0.0,16.2,9.2,11.7,2.8,0.0,0.0,9.5,52.0,93.0,-5.0,,,,,,,,,,,,,,,,,,,,201701010MIN,2017-01-01 19:00:00,1.0,7.0,0.143,0.0,2.0,0.0,0.0,0.0,,0.0,6.0,6.0,3.0,2.0,0.0,0.0,3.0,2.0,10.0
