Player,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,GameID,DateTime,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y
Al Horford,38.983333333333334,6.0,8.0,0.75,0.0,0.0,,4.0,6.0,0.667,1.0,14.0,15.0,4.0,0.0,3.0,3.0,3.0,16.0,25.0,Starter,0.752,0.75,0.0,0.75,3.2,34.5,20.8,17.2,0.0,5.5,22.0,17.8,126,82,10.8,201005020ATL,2010-05-02 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Williams,30.3,2.0,7.0,0.286,0.0,0.0,,4.0,4.0,1.0,6.0,3.0,9.0,2.0,1.0,0.0,0.0,2.0,8.0,13.0,Starter,0.457,0.286,0.0,0.571,24.4,9.5,16.0,9.7,2.0,0.0,0.0,14.7,145,95,4.7,201005020ATL,2010-05-02 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Smith,23.6,5.0,7.0,0.714,1.0,1.0,1.0,4.0,5.0,0.8,2.0,3.0,5.0,2.0,0.0,2.0,2.0,4.0,15.0,23.0,Starter,0.815,0.786,0.143,0.714,10.4,12.2,11.4,15.7,0.0,6.1,17.9,24.2,142,92,13.6,201005020ATL,2010-05-02 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamal Crawford,35.25,8.0,16.0,0.5,2.0,7.0,0.286,4.0,4.0,1.0,0.0,3.0,3.0,6.0,0.0,0.0,1.0,3.0,22.0,23.0,Reserve,0.619,0.563,0.438,0.25,0.0,8.2,4.6,32.5,0.0,0.0,5.3,27.1,144,99,8.7,201005020ATL,2010-05-02 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaza Pachulia,13.183333333333334,3.0,6.0,0.5,0.0,0.0,,1.0,2.0,0.5,3.0,3.0,6.0,0.0,0.0,2.0,1.0,3.0,7.0,0.0,Reserve,0.509,0.5,0.0,0.333,28.0,21.8,24.5,0.0,0.0,10.9,12.7,30.4,110,84,0.2,201005020ATL,2010-05-02 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maurice Evans,6.333333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,Reserve,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0,104,-12.0,201005020ATL,2010-05-02 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Collins,3.65,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,-1.0,Reserve,0.5,0.5,0.0,0.0,33.7,52.6,44.3,0.0,0.0,0.0,0.0,27.9,131,77,1.1,201005020ATL,2010-05-02 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Teague,3.65,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,Reserve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5,0.0,0.0,0.0,27.9,39,104,-21.6,201005020ATL,2010-05-02 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario West,3.15,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,-3.0,Reserve,1.0,1.0,0.0,0.0,39.1,30.5,34.2,0.0,0.0,0.0,0.0,16.2,205,87,17.0,201005020ATL,2010-05-02 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.J. Miles,40.65,4.0,12.0,0.333,1.0,5.0,0.2,7.0,8.0,0.875,0.0,3.0,3.0,2.0,0.0,0.0,2.0,5.0,16.0,-4.0,Starter,0.515,0.375,0.417,0.667,0.0,9.6,4.4,7.1,0.0,0.0,11.4,19.7,102,118,-6.1,201005020LAL,2010-05-02 15:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Boozer,38.833333333333336,9.0,17.0,0.529,0.0,0.0,,0.0,0.0,,6.0,6.0,12.0,4.0,1.0,0.0,4.0,4.0,18.0,-7.0,Starter,0.529,0.529,0.0,0.0,16.9,20.0,18.3,18.4,1.3,0.0,19.0,24.7,101,114,-0.5,201005020LAL,2010-05-02 15:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deron Williams,38.583333333333336,7.0,15.0,0.467,2.0,5.0,0.4,8.0,10.0,0.8,0.0,0.0,0.0,8.0,1.0,1.0,1.0,1.0,24.0,-12.0,Starter,0.619,0.533,0.333,0.667,0.0,0.0,0.0,34.0,1.4,1.9,4.9,24.1,133,116,10.0,201005020LAL,2010-05-02 15:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wesley Matthews,34.43333333333333,5.0,12.0,0.417,2.0,4.0,0.5,2.0,2.0,1.0,1.0,6.0,7.0,2.0,3.0,0.0,3.0,4.0,14.0,-7.0,Starter,0.543,0.5,0.333,0.167,3.2,22.6,12.0,9.0,4.6,0.0,18.9,21.0,94,107,1.0,201005020LAL,2010-05-02 15:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrylo Fesenko,13.216666666666667,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,Starter,0.5,0.5,0.0,0.0,0.0,9.8,4.5,10.6,0.0,0.0,0.0,6.9,117,118,-3.4,201005020LAL,2010-05-02 15:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Millsap,34.63333333333333,8.0,18.0,0.444,0.0,1.0,0.0,0.0,0.0,,2.0,7.0,9.0,3.0,1.0,0.0,1.0,3.0,16.0,-7.0,Reserve,0.444,0.444,0.056,0.0,6.3,26.2,15.4,15.4,1.5,0.0,5.3,25.0,97,112,-0.9,201005020LAL,2010-05-02 15:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Korver,21.066666666666666,3.0,5.0,0.6,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,7.0,3.0,Reserve,0.643,0.6,0.2,0.2,0.0,0.0,0.0,7.3,0.0,0.0,0.0,11.8,136,120,-5.3,201005020LAL,2010-05-02 15:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronnie Price,9.416666666666666,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,,1.0,2.0,3.0,3.0,2.0,0.0,0.0,2.0,2.0,7.0,Reserve,0.333,0.333,0.667,0.0,11.6,27.6,18.9,46.5,11.1,0.0,0.0,14.5,116,92,15.5,201005020LAL,2010-05-02 15:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosta Koufos,9.166666666666666,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,Reserve,0.0,0.0,0.0,0.0,11.9,28.3,19.4,0.0,0.0,8.1,0.0,5.0,64,109,-2.8,201005020LAL,2010-05-02 15:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pau Gasol,39.81666666666667,9.0,15.0,0.6,0.0,0.0,,7.0,7.0,1.0,3.0,9.0,12.0,4.0,1.0,5.0,3.0,1.0,25.0,8.0,Starter,0.691,0.6,0.0,0.467,9.8,24.7,17.9,16.0,1.3,9.0,14.2,24.7,132,101,13.0,201005020LAL,2010-05-02 15:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derek Fisher,39.666666666666664,4.0,7.0,0.571,0.0,1.0,0.0,2.0,4.0,0.5,0.0,3.0,3.0,3.0,5.0,0.0,3.0,4.0,10.0,10.0,Starter,0.571,0.571,0.143,0.571,0.0,8.3,4.5,10.0,6.6,0.0,25.5,13.8,93,102,1.9,201005020LAL,2010-05-02 15:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobe Bryant,36.6,12.0,19.0,0.632,0.0,2.0,0.0,7.0,7.0,1.0,0.0,3.0,3.0,4.0,0.0,0.0,4.0,3.0,31.0,8.0,Starter,0.702,0.632,0.105,0.368,0.0,8.9,4.9,20.8,0.0,0.0,15.3,33.2,125,115,3.9,201005020LAL,2010-05-02 15:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metta World Peace,32.78333333333333,4.0,9.0,0.444,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,8.0,8.0,Starter,0.444,0.444,0.333,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,12.8,108,118,-5.7,201005020LAL,2010-05-02 15:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Bynum,24.683333333333334,4.0,8.0,0.5,0.0,0.0,,0.0,0.0,,2.0,8.0,10.0,2.0,0.0,0.0,1.0,1.0,8.0,-1.0,Starter,0.5,0.5,0.0,0.0,10.5,35.4,24.0,11.7,0.0,0.0,11.1,17.0,109,108,0.2,201005020LAL,2010-05-02 15:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar Odom,31.35,4.0,10.0,0.4,1.0,4.0,0.25,0.0,1.0,0.0,5.0,7.0,12.0,2.0,0.0,2.0,2.0,5.0,9.0,5.0,Reserve,0.431,0.45,0.4,0.1,20.7,24.4,22.7,8.8,0.0,4.6,16.1,18.5,100,107,-2.7,201005020LAL,2010-05-02 15:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shannon Brown,16.75,1.0,5.0,0.2,0.0,0.0,,2.0,4.0,0.5,0.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,4.0,-4.0,Reserve,0.296,0.2,0.0,0.8,0.0,19.5,10.6,0.0,6.3,0.0,12.9,21.6,58,99,-6.5,201005020LAL,2010-05-02 15:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
