Player,MP,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y,GameID,DateTime,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus
Eric Gordon,34.43333333333333,,,,,,,,,,,,,,,,,,,,Reserve,0.444,0.406,0.375,0.125,5.2,13.0,8.6,4.5,1.4,5.5,10.6,23.1,88.0,112.0,-3.3,,,,,,,,,,,,,,,,,,,,201805020HOU,2018-05-02 20:00:00,5.0,16.0,0.313,3.0,6.0,0.5,2.0,2.0,1.0,2.0,4.0,6.0,1.0,1.0,2.0,2.0,3.0,15.0,-9.0
Luc Mbah a Moute,16.016666666666666,,,,,,,,,,,,,,,,,,,,Reserve,0.376,0.25,0.5,0.75,0.0,27.9,12.4,8.6,0.0,5.9,15.8,16.6,73.0,114.0,-5.9,,,,,,,,,,,,,,,,,,,,201805020HOU,2018-05-02 20:00:00,1.0,4.0,0.25,0.0,2.0,0.0,2.0,3.0,0.667,0.0,4.0,4.0,1.0,0.0,1.0,1.0,0.0,4.0,-10.0
Gerald Green,9.133333333333333,,,,,,,,,,,,,,,,,,,,Reserve,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,13.8,99.0,99.0,6.7,,,,,,,,,,,,,,,,,,,,201805020HOU,2018-05-02 20:00:00,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,-11.0
Ryan Anderson,6.883333333333333,,,,,,,,,,,,,,,,,,,,Reserve,0.0,0.0,1.0,0.0,0.0,32.4,14.4,18.4,0.0,0.0,0.0,12.2,27.0,117.0,-13.0,,,,,,,,,,,,,,,,,,,,201805020HOU,2018-05-02 20:00:00,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Nenê Hilário,4.016666666666667,,,,,,,,,,,,,,,,,,,,Reserve,,,,,0.0,27.8,12.3,0.0,0.0,0.0,,0.0,0.0,119.0,-8.1,,,,,,,,,,,,,,,,,,,,201805020HOU,2018-05-02 20:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
LeBron James,40.5,,,,,,,,,,,,,,,,,,,,Starter,0.682,0.696,0.107,0.286,3.4,24.4,13.7,60.4,1.3,0.0,3.1,39.7,148.0,121.0,18.0,,,,,,,,,,,,,,,,,,,,201805030TOR,2018-05-03 18:00:00,19.0,28.0,0.679,1.0,3.0,0.333,4.0,8.0,0.5,1.0,7.0,8.0,14.0,1.0,0.0,1.0,1.0,43.0,20.0
George Hill,35.333333333333336,,,,,,,,,,,,,,,,,,,,Starter,0.697,0.625,0.25,0.375,3.9,8.0,5.9,6.3,0.0,0.0,0.0,13.0,152.0,126.0,-1.8,,,,,,,,,,,,,,,,,,,,201805030TOR,2018-05-03 18:00:00,5.0,8.0,0.625,0.0,2.0,0.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,13.0,20.0
Kevin Love,35.233333333333334,,,,,,,,,,,,,,,,,,,,Starter,0.644,0.571,0.286,0.333,3.9,40.1,21.7,7.8,1.5,2.7,4.0,35.2,129.0,117.0,3.7,,,,,,,,,,,,,,,,,,,,201805030TOR,2018-05-03 18:00:00,11.0,21.0,0.524,2.0,6.0,0.333,7.0,7.0,1.0,1.0,10.0,11.0,2.0,1.0,1.0,1.0,4.0,31.0,21.0
J.R. Smith,35.083333333333336,,,,,,,,,,,,,,,,,,,,Starter,0.805,0.75,0.375,0.375,3.9,0.0,2.0,3.2,1.5,0.0,0.0,13.1,166.0,123.0,2.9,,,,,,,,,,,,,,,,,,,,201805030TOR,2018-05-03 18:00:00,5.0,8.0,0.625,2.0,3.0,0.667,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,19.0
Kyle Korver,27.783333333333335,,,,,,,,,,,,,,,,,,,,Starter,0.833,0.833,0.667,0.0,0.0,10.2,5.0,7.4,3.8,0.0,0.0,5.3,173.0,117.0,1.8,,,,,,,,,,,,,,,,,,,,201805030TOR,2018-05-03 18:00:00,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,3.0,5.0,3.0
Jeff Green,20.183333333333334,,,,,,,,,,,,,,,,,,,,Reserve,0.788,0.875,0.75,0.25,0.0,7.0,3.4,6.2,0.0,9.3,0.0,21.7,148.0,117.0,11.2,,,,,,,,,,,,,,,,,,,,201805030TOR,2018-05-03 18:00:00,5.0,8.0,0.625,4.0,6.0,0.667,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,14.0,3.0
Tristan Thompson,15.166666666666666,,,,,,,,,,,,,,,,,,,,Reserve,1.0,1.0,0.0,0.0,0.0,18.6,9.2,0.0,0.0,0.0,0.0,3.3,200.0,125.0,-2.1,,,,,,,,,,,,,,,,,,,,201805030TOR,2018-05-03 18:00:00,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0
